promotion,bouts,fighters,direct_ufc,linked_to_ufc,link_rate
BOC,1,1,0,0,0.0
Tambov MMA Federation,1,1,0,0,0.0
Smash Fight,1,1,0,1,1.0
Karos K1 MMA Fight Series,1,1,0,0,0.0
Empire Promotions,1,1,0,1,1.0
Lockdown Fight Series,1,1,0,0,0.0
RBM,1,1,0,0,0.0
Aeternum,1,1,0,0,0.0
ZF Promotion,1,1,0,0,0.0
WCA,1,1,0,0,0.0
Ural FC,1,1,0,0,0.0
MMA Cup,1,1,0,0,0.0
TPP,1,1,0,0,0.0
OFT,1,1,0,0,0.0
FCBB,1,1,0,0,0.0
SIBT,1,1,0,1,1.0
Beach Combat Championship,1,1,0,0,0.0
EGM,1,1,0,0,0.0
CL,1,1,0,0,0.0
Night of Heroes,1,1,0,0,0.0
Russia Top Team,1,1,0,1,1.0
Prokopyevsk Challenge,1,1,0,1,1.0
SAS,1,1,0,1,1.0
PPFN,1,1,0,1,1.0
CM,1,1,0,1,1.0
CDL Promotions,1,1,1,1,1.0
AAMMA,1,1,0,0,0.0
Bella Vista Fighter,1,1,0,0,0.0
Sparta MMA Club,1,1,0,0,0.0
SE,1,1,1,1,1.0
Fitness Life Balakovo,1,1,0,0,0.0
SSS,1,1,0,0,0.0
Parma Fights,1,1,0,0,0.0
HOG,1,1,0,1,1.0
WFCF,1,1,0,0,0.0
EFC / AMC,1,1,0,0,0.0
VT,1,1,0,1,1.0
PG,1,1,1,1,1.0
TKOP,1,1,0,1,1.0
BP Fight Night,1,1,0,1,1.0
MMA Raju,1,1,0,1,1.0
XCage 8 / PLMMA,1,1,0,1,1.0
Retribution FC,1,1,1,1,1.0
Man of War Fighting Championship,1,1,0,0,0.0
GP Fight,1,1,0,0,0.0
SRFC,1,1,0,0,0.0
Knock-Out MMA,1,1,0,1,1.0
Action Fight,1,1,0,0,0.0
CZ Fight,1,1,0,0,0.0
Gorilas Fight,1,1,0,0,0.0
MFC South Africa,1,1,0,0,0.0
Ludus Magnus MMA,1,1,0,1,1.0
Luctor Cage Fight,1,1,0,1,1.0
FC5,1,1,0,0,0.0
Dakota FC / Ultimate Productions,1,1,0,1,1.0
A Batalha,1,1,0,0,0.0
League MMA,1,1,0,0,0.0
Gladiators in the Cage,1,1,0,0,0.0
Fighter Galla,1,1,0,1,1.0
VAF,1,1,0,0,0.0
Upper Fight,1,1,0,0,0.0
VRMMA,1,1,0,1,1.0
Fist Fight Combat,1,1,0,0,0.0
Empire,1,1,0,0,0.0
PRB FCF-MMA,1,1,0,1,1.0
Noite de Guerra,1,1,0,0,0.0
WOP,1,1,0,0,0.0
FNR,1,1,0,0,0.0
I.M. Poddubnogo Sports Club,1,1,0,0,0.0
Max Fight League,1,1,0,0,0.0
B2F,1,1,0,1,1.0
PXC,1,1,0,1,1.0
Galan Lord of the Cage,1,1,1,1,1.0
Talentos Fight Maranhao,1,1,0,0,0.0
LKO,1,1,0,1,1.0
HS,1,1,0,1,1.0
TAO MMA,1,1,0,1,1.0
Jackhammer Promotions,1,1,0,0,0.0
MW,1,1,0,0,0.0
Bazara 0 Fight Club,1,1,0,1,1.0
MTC,1,1,0,1,1.0
Xplosion,1,1,0,1,1.0
Ambitions Fighting Championship,1,1,0,0,0.0
Naiza Jekpe-Jek,1,1,0,0,0.0
Nomads Absolute Challenge,1,1,0,0,0.0
Star Elite Cage Fighting,1,1,0,1,1.0
Capone's Productions,1,1,0,1,1.0
SportFight,1,1,1,1,1.0
Valor Fight,1,1,1,1,1.0
Submission,1,1,1,1,1.0
Ruckus Entertainment,1,1,0,1,1.0
Ablay FC,1,1,0,0,0.0
Fight Lounge,1,1,0,1,1.0
BRS,1,1,0,1,1.0
NCFC,1,1,0,1,1.0
Sika Fighting Club,1,1,0,0,0.0
Nokaut Fighting Championship,1,1,0,1,1.0
Cage Fight Championship,1,1,0,1,1.0
Serbian Battle Championship,1,1,0,1,1.0
Lewy Prosty,1,1,0,1,1.0
Unity FC,1,1,0,0,0.0
Eric Favre Nation MMA,1,1,0,0,0.0
Deep & Pancrase,1,1,1,1,1.0
The One Real Combat,1,1,0,1,1.0
Free Fighting MMA,1,1,0,0,0.0
FI,1,1,1,1,1.0
Trophee des Etoiles,1,1,1,1,1.0
VCFC,1,1,0,0,0.0
Trogon Fighting Alliance,1,1,0,1,1.0
MCP,1,1,0,0,0.0
BFL Pro,1,1,0,0,0.0
Shooto Sweden,1,1,0,1,1.0
Rings,1,1,0,1,1.0
Vision,1,1,0,1,1.0
Israel Fighting Championship,1,1,0,1,1.0
Cage Fighting League,1,1,0,0,0.0
LFFC,1,1,0,1,1.0
Octagon Athletes,1,1,0,1,1.0
Showdown Fights,1,1,0,1,1.0
MMA Cage Fights,1,1,0,1,1.0
Reunion Promotion,1,1,0,1,1.0
Dominance FC 3.0,1,1,0,1,1.0
Garda,1,1,0,1,1.0
Vilamir Challengers,1,1,0,0,0.0
MMA dos Santos,1,1,0,0,0.0
RXC Open,1,1,0,0,0.0
WT,1,1,0,1,1.0
Ostdeutschland Kampft,1,1,0,1,1.0
PLMMA 13 / Prime,1,1,0,1,1.0
Shooto Latvia,1,1,0,1,1.0
K-1 HERO's,1,1,0,1,1.0
Maxxx Fight,1,1,0,1,1.0
Aralas Zhekpe-Zhek,1,1,0,0,0.0
Bushido Kazakhstan,1,1,0,0,0.0
Grabaka,1,1,0,1,1.0
Circuito Figueredo de Lutas,1,1,0,0,0.0
Back Fish MMA,1,1,0,0,0.0
Elite MMA,1,1,0,1,1.0
Hermandad K-1,1,1,0,1,1.0
Alem Fighters,1,1,0,0,0.0
Alfa FC,1,1,0,0,0.0
ZMMA,1,1,0,0,0.0
Best Combat MMA,1,1,0,0,0.0
Fight On,1,1,0,0,0.0
Jua Fight,1,1,0,0,0.0
XGP,1,1,0,1,1.0
Up N Up,1,1,0,1,1.0
UIC,1,1,0,1,1.0
Destiny Promotions,1,1,0,1,1.0
Freedom Fight Night,1,1,0,1,1.0
IFA,1,1,0,1,1.0
DreamFC,1,1,0,1,1.0
Fury Fight Series,1,1,0,1,1.0
YTYT,1,1,0,1,1.0
PLMMA 8 / Prime,1,1,0,1,1.0
TW,1,1,0,1,1.0
RadMer,1,1,0,1,1.0
SOMMAF,1,1,0,1,1.0
Tachi Palace Fights,1,1,0,1,1.0
OFP,1,1,0,0,0.0
SAP,1,1,0,0,0.0
PCN,1,1,0,1,1.0
Champions Night,1,1,0,1,1.0
DDW,1,1,0,1,1.0
HW,1,1,0,1,1.0
Savage Entertainment,1,1,1,1,1.0
SFNA,1,1,0,0,0.0
WCE,1,1,0,0,0.0
AFL Elite,1,1,0,0,0.0
FEM,1,1,0,0,0.0
Legia Fight Club,1,1,0,0,0.0
R.O.D. MMA,1,1,0,0,0.0
TMC,1,1,1,1,1.0
Battleground Amateur Combative Association,1,1,0,0,0.0
Donnie Hair's Live Cage Fights,1,1,0,1,1.0
Fight Time,1,1,0,1,1.0
Supreme,1,1,0,1,1.0
NXT,1,1,0,0,0.0
Mega Fight,1,1,0,1,1.0
Cut Throat MMA,1,1,1,1,1.0
Hoosier,1,1,1,1,1.0
CCNE,1,1,0,1,1.0
World Championship Pankration,1,1,1,1,1.0
Human Project,1,1,0,0,0.0
Climent Club,1,1,0,0,0.0
Chelyabinsk Martial Arts Festival,1,1,0,0,0.0
IFO Europe,1,1,0,0,0.0
Berkut Fighting Championship,1,1,0,0,0.0
Fight Time Promotions,1,1,0,0,0.0
GAMMA Championship,1,1,0,0,0.0
Pride Martial Arts Training Center,1,1,0,0,0.0
TPFP,1,1,1,1,1.0
ND,1,1,1,1,1.0
Ural FC X Ozon,1,1,1,1,1.0
WXF,1,1,1,1,1.0
Magdeburger Cage,1,1,0,0,0.0
Tough Gym Hamburg,1,1,0,0,0.0
Vigilant Promotions,1,1,0,1,1.0
Burt Watson Promotions,1,1,0,1,1.0
RXMMA,1,1,1,1,1.0
MMA Uncaged FC,1,1,0,0,0.0
DRAGON'S FIGHT MMA,1,1,0,0,0.0
Acesso Show,1,1,0,0,0.0
Glorious Fight Events,1,1,0,0,0.0
Invictus Fight,1,1,0,1,1.0
MNA MMA Circuit,1,1,0,1,1.0
SCI,1,1,0,1,1.0
YFN,1,1,0,1,1.0
SMMAAS,1,1,0,1,1.0
Driller Promotions / SEG,1,1,0,1,1.0
Gigantes Fight Combat,1,1,0,1,1.0
SUF,1,1,0,0,0.0
FEMMAESP,1,1,0,0,0.0
Maximum Midway,1,1,0,0,0.0
Socam Fight,1,1,0,0,0.0
SN,1,1,0,0,0.0
Cage Club,1,1,0,1,1.0
UGB MMA,1,1,0,1,1.0
MP,1,1,0,1,1.0
Mongol FC,1,1,0,0,0.0
Nanbudo Bih,1,1,0,0,0.0
UFB,1,1,0,0,0.0
Trboulje,1,1,0,0,0.0
Slovakian Thaiboxing Association,1,1,0,0,0.0
WC,1,1,0,1,1.0
Samurai FC,1,1,0,1,1.0
StudSport,1,1,0,0,0.0
Adrenalina MMA,1,1,0,1,1.0
WhiteApe MMA,1,1,0,1,1.0
Blueblood MMA,1,1,0,1,1.0
Iowa Challenge,1,1,0,1,1.0
DE,1,1,0,1,1.0
AP,1,1,0,1,1.0
Fightchallenge,1,1,0,1,1.0
Eagles Fighting Championship,1,1,0,1,1.0
Donetsk People's Republic MMA Federation,1,1,0,1,1.0
STA,1,1,0,1,1.0
DC,1,1,0,1,1.0
IFN,1,1,0,0,0.0
Top Fighting Zone,1,1,0,0,0.0
WFF MX,1,1,0,0,0.0
Genesis Desert Combat Legion,1,1,0,0,0.0
NPMMA,1,1,0,1,1.0
C3,1,1,0,1,1.0
Stateline Warriors,1,1,0,1,1.0
PCE,1,1,0,0,0.0
EWMMA,1,1,0,0,0.0
A1WCC,1,1,0,0,0.0
R3,1,1,0,1,1.0
PLMMA 68 / 3F,1,1,0,1,1.0
MMAtaleo Slupsk,1,1,0,1,1.0
Mineira MMA Federation,1,1,0,0,0.0
CBAM,1,1,0,0,0.0
RS,1,1,0,1,1.0
IMMAC,1,1,0,1,1.0
Rudis FC,1,1,0,0,0.0
Xtreme Promotions,1,1,0,0,0.0
BJFC,1,1,0,0,0.0
PACF,1,1,0,1,1.0
FightForce,1,1,0,0,0.0
Nxt Gen Entertainment,1,1,0,0,0.0
Hard Knocks Fight Promotions,1,1,0,0,0.0
Star Striker,1,1,0,0,0.0
K2S Combat,1,1,0,0,0.0
XFE MMA,1,1,0,1,1.0
VFE,1,1,0,1,1.0
FCM,1,1,0,1,1.0
HKC,1,1,0,1,1.0
VFE / Brave CF,1,1,0,1,1.0
KARMMA,1,1,0,1,1.0
C.S FIGHT,1,1,0,1,1.0
Acesso MMA,1,1,0,1,1.0
Money Moicano MMA,1,1,0,1,1.0
Arene des Sacres,1,1,0,1,1.0
Explosive Fight Promotions,1,1,0,1,1.0
Prodigy MMA,1,1,0,1,1.0
PBSC,1,1,1,1,1.0
CBC,1,1,1,1,1.0
EP,1,1,1,1,1.0
Strikeforce-EliteXC,1,1,1,1,1.0
PWP,1,1,1,1,1.0
Nemesis Fighting,1,1,1,1,1.0
KTK,1,1,0,1,1.0
Yuzhniy Rubezh,1,1,0,1,1.0
Gala Sportow Walki,1,1,0,0,0.0
Fightsport Matchmaking / M Sports,1,1,0,0,0.0
Brave CF X GFC,1,1,0,0,0.0
ECF,1,1,0,1,1.0
KA,1,1,0,1,1.0
Extravaganza,1,1,0,1,1.0
RPA,1,1,0,1,1.0
Lux Combat,1,1,0,1,1.0
G-Force Fights,1,1,0,1,1.0
Champ Enterprises,1,1,0,1,1.0
Atlas Fights,1,1,0,1,1.0
PCB MMA,1,1,0,1,1.0
UAF,1,1,0,1,1.0
PA Caged Combat,1,1,0,1,1.0
Charity Fight,1,1,0,1,1.0
OG2F,1,1,0,1,1.0
AGF,1,1,0,1,1.0
Stone MMA,1,1,0,0,0.0
50Fifty,1,1,0,0,0.0
Showcase MMA,1,1,0,0,0.0
GCS,1,1,1,1,1.0
Bonecrunch Fighting,1,1,0,1,1.0
Reality Combat,1,1,0,1,1.0
AE,1,1,0,1,1.0
Leal Combat,1,1,0,1,1.0
PFB,1,1,0,1,1.0
Spartans Fight,1,1,0,0,0.0
MMA Pit Bull Team,1,1,0,0,0.0
Kaliningrad MMA Federation,1,1,0,0,0.0
Knights Of Moscow Oblast Ring,1,1,0,0,0.0
WXCF,1,1,0,1,1.0
Colombia Fighting Championship,1,1,0,1,1.0
V Combat,1,1,0,0,0.0
Citadel,1,1,0,0,0.0
GFS,1,1,0,0,0.0
Osimas,1,1,0,1,1.0
Imperium,1,1,0,1,1.0
CPMMAF,1,1,0,1,1.0
Brawlers Ball MMA,1,1,0,0,0.0
Era VIP Promotion,1,1,0,0,0.0
SLMMA,1,1,0,0,0.0
OSE,1,1,0,0,0.0
KMMAC,1,1,0,1,1.0
Masurian Fighting Championship,1,1,0,1,1.0
Underdog Xtreme Championships,1,1,0,0,0.0
Supreme FC,1,1,0,0,0.0
TFA MMA International,1,1,0,0,0.0
Heroes,1,1,0,0,0.0
Explosion,1,1,0,0,0.0
SSF,1,1,0,0,0.0
Victorious,1,1,0,0,0.0
XG,1,1,0,1,1.0
Capital Fights,1,1,0,1,1.0
Striker MMA,1,1,0,1,1.0
Maktub Fight Pro,1,1,0,0,0.0
X-Combat Ultra,1,1,0,1,1.0
Conviction,1,1,0,1,1.0
Infinity MMA,1,1,0,1,1.0
Campeonato Villeta,1,1,0,1,1.0
CTT,1,1,0,1,1.0
AKAMMF Pro,1,1,0,1,1.0
Feria Santa Rita,1,1,0,1,1.0
Integracion MMA,1,1,0,1,1.0
Copa Brasil MMA,1,1,0,0,0.0
Real Fights,1,1,0,1,1.0
Gladiators Fight,1,1,0,0,0.0
RMR Productions,1,1,0,1,1.0
ICE Fighter,1,1,0,1,1.0
NBF,1,1,0,1,1.0
OFC 57 X MFP,1,1,0,1,1.0
OFC 64 X MFP,1,1,0,1,1.0
Legends of Combat,1,1,0,1,1.0
Combate,1,1,0,0,0.0
TEF,1,1,0,0,0.0
Royal Combat,1,1,0,0,0.0
Bakersfield Combat Promotions,1,1,0,0,0.0
Las Vegas MMA,1,1,0,1,1.0
808 Battleground,1,1,0,1,1.0
Vendetta,1,1,0,0,0.0
Emir Fighting Championship,1,1,0,1,1.0
Xtreme Fight Fitness,1,1,0,1,1.0
DFS,1,1,0,0,0.0
Evolve,1,1,0,0,0.0
MCM,1,1,0,0,0.0
TCMMAC,1,1,0,0,0.0
Beazt Fight Night,1,1,0,0,0.0
MFB,1,1,0,1,1.0
Fight for Glory,1,1,0,1,1.0
Maxline League,1,1,0,0,0.0
Mega Fight 5.0,1,1,0,1,1.0
Shooto Switzerland,1,1,0,1,1.0
Night of Warriors,1,1,0,1,1.0
Kombat League,1,1,0,1,1.0
TWEF,1,1,0,0,0.0
Superfly Promotions,1,1,0,0,0.0
Revista Combate,1,1,0,1,1.0
NDT,1,1,0,1,1.0
Arena Games,1,1,0,1,1.0
Villavo Fight Strong,1,1,0,1,1.0
Dominion Warrior,1,1,0,0,0.0
EMFNL,1,1,0,1,1.0
United Glory,1,1,0,1,1.0
KFS,1,1,0,1,1.0
IWFC,1,1,0,1,1.0
Barbarian Fight Club,1,1,0,1,1.0
Northeast MMA,1,1,0,1,1.0
AMMAFL,1,1,0,1,1.0
OO,1,1,0,1,1.0
CDMMA,1,1,0,1,1.0
Fightor,1,1,0,1,1.0
MMA Espana,1,1,0,1,1.0
360,1,1,0,0,0.0
Mafra Fight Kickboxing MMA,1,1,0,0,0.0
Paulista Fight,1,1,0,1,1.0
Fight Quest Show,1,1,0,0,0.0
Qualify Combat,1,1,0,1,1.0
Copa Norte de MMA,1,1,0,0,0.0
ITFS,1,1,0,0,0.0
Armageddon MMA,1,1,0,1,1.0
Medulin Fight Night,1,1,0,0,0.0
Shoot Challenge,1,1,1,1,1.0
IPC,1,1,0,1,1.0
CIS,1,1,0,1,1.0
Mix Fighter,1,1,0,1,1.0
Clan Wars,1,1,0,0,0.0
Gorilla Fight Club,1,1,0,0,0.0
Dominance FC,1,1,0,0,0.0
Reality,1,1,0,0,0.0
Warriors Combat,1,1,0,0,0.0
DEK,1,1,0,0,0.0
Xtreme Combat Productions,1,1,1,1,1.0
CFH,1,1,0,0,0.0
Extreme Fighters MMA,1,1,0,1,1.0
BVC,1,1,0,0,0.0
Jorge Velho Team,1,1,0,1,1.0
K1 Empress League,1,1,0,1,1.0
WiTo Sport Events,1,1,0,0,0.0
GB,1,1,0,0,0.0
CR,1,1,1,1,1.0
NLF,1,1,1,1,1.0
NW,1,1,0,0,0.0
HF,1,1,1,1,1.0
OFF,1,1,1,1,1.0
BKF,1,1,0,1,1.0
GOC,1,1,0,0,0.0
FightPro,1,1,0,0,0.0
RFCH,1,1,0,0,0.0
PIK,1,1,0,0,0.0
Bator Fighting Championship,1,1,0,0,0.0
Brave CF 70 / WFC,1,1,1,1,1.0
Nordeste Jiu-Jitsu Association,1,1,0,1,1.0
Philippine Encuentro Championship,1,1,0,0,0.0
One Pride MMA Fight Night,1,1,0,0,0.0
Big3 MMA Productions,1,1,0,0,0.0
UGB MMA Championship,1,1,0,0,0.0
Island Fighters League,1,1,0,0,0.0
Zeus Fight Night,1,1,0,0,0.0
Aikol,1,1,0,0,0.0
IK,1,1,0,0,0.0
Fighters of Gold MMA,1,1,0,0,0.0
Impacto Fight,1,1,0,0,0.0
MMA Pro League,1,1,0,0,0.0
Champions Challenging Champions,1,1,0,0,0.0
GR Promotion,1,1,0,0,0.0
BCC,1,1,0,1,1.0
SF Combat,1,1,0,0,0.0
Central Coast Fighting Championship,1,1,0,0,0.0
VFS 19 /,1,1,0,0,0.0
Ringside Ticket / HD MMA,1,1,0,0,0.0
FTW,1,1,0,1,1.0
GOAT,1,1,0,1,1.0
PRO,1,1,0,1,1.0
GCMMA,1,1,1,1,1.0
SEFC,1,1,1,1,1.0
LeLeo Code,1,1,0,1,1.0
Heroes Fight,1,1,0,1,1.0
BVN,1,1,0,1,1.0
FITBOX Fighting Championship,1,1,0,0,0.0
Elite,1,1,0,0,0.0
Horsepower Promotions,1,1,0,0,0.0
Say Uncle Promotions,1,1,0,1,1.0
CPL,1,1,0,1,1.0
IASA,1,1,0,1,1.0
MMAX FC,1,1,0,1,1.0
Peak,1,1,0,1,1.0
SECC,1,1,0,1,1.0
Titan Combat,1,1,0,1,1.0
RCWC,1,1,0,1,1.0
Southern border,1,1,0,0,0.0
The Iron Fight 2.0,1,1,0,0,0.0
Brutality MMA,1,1,0,0,0.0
SAF Combat,1,1,0,0,0.0
DSFN,1,1,0,0,0.0
AMA,1,1,1,1,1.0
ShoXC,1,1,0,1,1.0
Global Knockout,1,1,0,1,1.0
MFL x PCFC,1,1,0,0,0.0
Vikings Fight Club,1,1,1,1,1.0
The Iron Fight,1,1,0,0,0.0
CageSport,1,1,0,1,1.0
SCDMMA,1,1,0,1,1.0
Minas Combat,1,1,0,1,1.0
Fight Club Arena,1,1,0,1,1.0
Danger,1,1,0,1,1.0
LNDG,1,1,0,1,1.0
SA,1,1,0,0,0.0
First Coast Full Contact,1,1,0,0,0.0
MAX,1,1,0,1,1.0
All Star Boxing,1,1,0,0,0.0
International Alliance of MMA,1,1,0,0,0.0
BoB,1,1,0,1,1.0
Tony G Presents,1,1,0,1,1.0
Adrenalin Fight Nights,1,1,0,1,1.0
WFT,1,1,0,1,1.0
City Innovative Technologies / Sech Pro,1,1,0,1,1.0
Mannheimer Hafenkeilerei,1,1,0,1,1.0
Strike1,1,1,0,1,1.0
Cannon Fight,1,1,0,0,0.0
SFL 2018: Finals,1,1,0,1,1.0
Double-Headed Eagle,1,1,0,1,1.0
NOP,1,1,0,1,1.0
EMS,1,1,0,1,1.0
Titan Channel,1,1,0,1,1.0
HFSL,1,1,0,0,0.0
Gladiatus,1,1,0,0,0.0
KOF,1,1,0,0,0.0
CT,1,1,1,1,1.0
Alternativa Fitness,1,1,0,0,0.0
COH,1,1,0,1,1.0
CFFAC,1,1,0,1,1.0
TTP,1,1,0,1,1.0
Rumble Time Promotions,1,1,0,1,1.0
WSOR,1,1,0,0,0.0
NOG,1,1,0,1,1.0
RPC,1,1,0,0,0.0
FEA Championship,1,1,0,0,0.0
Revolution,1,1,0,0,0.0
Tatya,1,1,1,1,1.0
300 Sparta,1,1,1,1,1.0
GWC,1,1,0,0,0.0
FFC Global,1,1,0,1,1.0
WGFC,1,1,0,1,1.0
Fightway Challenge,1,1,0,1,1.0
Lanzarote Arena,1,1,0,0,0.0
SYWF,1,1,0,0,0.0
Red Thunder Promotions,1,1,0,0,0.0
PVF,1,1,0,1,1.0
IBF Baltic Championship,1,1,0,1,1.0
LOP,1,1,1,1,1.0
CGC,1,1,0,0,0.0
Torment,1,1,0,1,1.0
Iron Fist Fight Club,1,1,0,1,1.0
XFO FN,1,1,1,1,1.0
Global Proving Ground / The Victorium,1,1,0,0,0.0
AXF,1,1,0,0,0.0
FLC,1,1,0,0,0.0
Nomad MMA / N1 Pro / WFN,1,1,0,1,1.0
FightersRep,1,1,0,0,0.0
LLC,1,1,0,0,0.0
MRWF,1,1,0,1,1.0
Gladiador Fighting Championships,1,1,0,1,1.0
Buryatia MMA Federation,1,1,0,0,0.0
112 Fight Academy,1,1,0,0,0.0
Primal Fighting Championship,1,1,0,0,0.0
FCMT,1,1,0,1,1.0
SFL 49 / CageSport,1,1,0,1,1.0
UCE,1,1,1,1,1.0
EVO MMA,1,1,1,1,1.0
GMC Olympix,1,1,0,0,0.0
Forza FC,1,1,0,0,0.0
Celtic Gladiator Academy,1,1,0,0,0.0
Baikal Fighting Championship,1,1,0,0,0.0
Legends of Fight,1,1,0,1,1.0
Black Combat,1,1,0,1,1.0
Raw,1,1,0,0,0.0
Battlequest,1,1,1,1,1.0
Aries Fight Series,1,1,0,0,0.0
USKO,1,1,0,0,0.0
Invictus Promotions,1,1,0,1,1.0
OF,1,1,0,1,1.0
PEF,1,1,0,1,1.0
Octagon Fight,1,1,0,1,1.0
Extreme Fighter,1,1,0,1,1.0
Vilsao Team,1,1,0,1,1.0
Charge MMA,1,1,0,1,1.0
Ichigeki,1,1,0,0,0.0
Checkmate Entertainment,1,1,1,1,1.0
Budo Fights,1,1,1,1,1.0
WPCF,1,1,0,1,1.0
CDL,1,1,0,0,0.0
Fit Centrum,1,1,0,0,0.0
Honor Fight League,1,1,0,0,0.0
Counterattack-9,1,1,1,1,1.0
Uzbekistan MMA Association,1,1,1,1,1.0
Furya,1,1,0,0,0.0
Professional Fighters Combat,1,1,0,1,1.0
ESFA,1,1,0,0,0.0
ICE,1,1,0,0,0.0
DPP,1,1,0,1,1.0
DPFS,1,1,0,0,0.0
Esquilo Brothers,1,1,0,0,0.0
South American Fight,1,1,0,0,0.0
Benaltor Fighting Championship,1,1,0,0,0.0
WFCA Czech Republic,1,1,0,1,1.0
ITS,1,1,0,0,0.0
FNS,1,1,0,1,1.0
SFE,1,1,0,1,1.0
Rise,1,1,0,1,1.0
Midtown Productions,1,1,0,1,1.0
FFI,1,1,1,1,1.0
MCF Productions,1,1,1,1,1.0
Rio MMA Fight,1,1,0,1,1.0
Total MMA,1,1,0,0,0.0
PSF,1,1,0,0,0.0
MMA Cup Moscow,1,1,0,0,0.0
Midwest Championship Fighting,1,1,1,1,1.0
Westlake Productions,1,1,0,0,0.0
Iron Tiger FS,1,1,0,0,0.0
Southern Indiana Combat Production,1,1,0,0,0.0
All In Promotions,1,1,1,1,1.0
Palmetto Boxing Promotions,1,1,0,0,0.0
Supreme Fighting,1,1,1,1,1.0
AXS TV Fights,1,1,1,1,1.0
The Lion Fight Series,1,1,0,1,1.0
NOH,1,1,0,1,1.0
M4TC,1,1,0,0,0.0
MMA Big Show,1,1,0,1,1.0
CBFC,1,1,0,1,1.0
3FC,1,1,0,1,1.0
VTRI,1,1,0,0,0.0
MD,1,1,0,0,0.0
WMMAF,1,1,0,1,1.0
Rhinos,1,1,0,1,1.0
Shootfighting Skagen,1,1,0,1,1.0
Almeida Bros MMA,1,1,0,0,0.0
Maximun Fight MMA,1,1,0,0,0.0
TSE,1,1,0,1,1.0
AMMA,1,1,1,1,1.0
Ultimate Event Promotions,1,1,1,1,1.0
K.O.,1,1,0,1,1.0
Golden Fist Gym,1,1,0,0,0.0
Games of the Future,1,1,0,1,1.0
Double G,1,1,0,1,1.0
ISKA,1,1,0,0,0.0
DCE,1,1,0,0,0.0
Savage Fight Night,1,1,0,1,1.0
UXC,1,1,0,1,1.0
Infinitus MMA,1,1,0,0,0.0
Shoutout Fight League,1,1,0,0,0.0
Thunder & Lightning,1,1,0,1,1.0
RECU,1,1,0,1,1.0
F4P Championship,1,1,0,1,1.0
Sangai MMA,1,1,0,1,1.0
COP,1,1,0,1,1.0
M-1 Belarus,1,1,0,1,1.0
Fury Fights,1,1,0,0,0.0
K1EL3,1,1,0,0,0.0
TFC Fight Night,1,1,0,0,0.0
LC,1,1,0,0,0.0
Deadgame Fight School,1,1,0,1,1.0
Warfare,1,1,0,1,1.0
United Fighting Series,1,1,0,1,1.0
Cage Fighting Championships,1,1,0,1,1.0
Fatality Arena vs. Gringo Super Fight,1,1,0,1,1.0
Cruzeiro Fight MMA,1,1,0,1,1.0
IKombat / Ichigeki,1,1,0,1,1.0
PBT,1,1,0,1,1.0
PAMMAA,1,1,0,1,1.0
IFF,1,1,0,1,1.0
MMAF,1,1,0,1,1.0
Battlefield,1,1,0,1,1.0
Caged Thunder,1,1,0,1,1.0
Sunkin International Fight Club,1,1,0,0,0.0
Huya FC,1,1,0,0,0.0
JCK Night Cage Series,1,1,0,0,0.0
QLFC,1,1,0,0,0.0
CWFL,1,1,0,1,1.0
TNP,1,1,0,1,1.0
Fightstar Promotions,1,1,0,1,1.0
ACFC,1,1,0,1,1.0
LAMMQ,1,1,0,1,1.0
NKF,1,1,0,0,0.0
FK,1,1,0,0,0.0
FIGMMA,1,1,0,1,1.0
FederKombat,1,1,0,1,1.0
Aura Fight Gala,1,1,0,1,1.0
FG5,1,1,0,1,1.0
Capitao Fight,1,1,0,1,1.0
Revolta,1,1,0,1,1.0
Crossroads In The Fight,1,1,0,1,1.0
Heroic Battle,1,1,0,1,1.0
Hybrid Combat,1,1,0,1,1.0
Z Promotions,1,1,0,1,1.0
TKO MMA,1,1,0,1,1.0
Troia,1,1,0,1,1.0
TS,1,1,0,1,1.0
BW,1,1,1,1,1.0
UA,1,1,1,1,1.0
UCC Hawaii,1,1,1,1,1.0
T2T,1,1,0,0,0.0
Pride,1,1,1,1,1.0
Omaha Fight Club,1,1,0,1,1.0
NK,1,1,0,0,0.0
Turku,1,1,0,0,0.0
TFGA,1,1,0,0,0.0
Fight Promotion Showdown Goes Ruissalo,1,1,0,0,0.0
Browar Polnocny Fight Night,1,1,0,0,0.0
MMAGP,1,1,0,0,0.0
XCP,1,1,0,0,0.0
WFA,1,1,1,1,1.0
IE,1,1,1,1,1.0
Cage Titans,1,1,0,1,1.0
Blockbuster MMA,1,1,0,1,1.0
Ultimate Warrior Challenge,1,1,0,1,1.0
Superstar Fight,1,1,0,1,1.0
SJW,1,1,0,1,1.0
FMMMA,1,1,0,1,1.0
Epic Fight Night,1,1,0,1,1.0
UCL,1,1,0,1,1.0
WNC,1,1,0,1,1.0
AEC,1,1,0,1,1.0
FTJO,1,1,0,0,0.0
EB,1,1,0,1,1.0
Phoenix Fight Night,1,1,0,1,1.0
Dragon FC,1,1,0,1,1.0
WMA,1,1,0,1,1.0
Iran Fighting Championship,1,1,0,0,0.0
Pahlevan SFC,1,1,0,0,0.0
C4 Fighting,1,1,0,1,1.0
Kuzbass MMA Federation,1,1,0,0,0.0
Alash Pride FC,1,1,0,0,0.0
KORE MMA,1,1,0,1,1.0
Destiny MMA / Spirit MMA,1,1,0,0,0.0
